"arquivo","modelo","status","status_primal","status_dual","raw_status","objetivo","tempo_jump_s","tempo_total_s","variaveis","restricoes_sem_bounds","restricoes_com_bounds","madnlp_iterations","madnlp_objective_final_log","madnlp_dual_infeasibility","madnlp_constraint_violation","madnlp_variable_bound_violation","madnlp_complementarity","madnlp_overall_nlp_error","madnlp_total_seconds","madnlp_jacobian_nnz","madnlp_hessian_nnz","erro_solver","log_madnlp"
"jump_2/chakra_jump.jl","chakra_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-179.1335578648928","9.704590082168579","16.342430114746094","63","42","104","7","-1.7913355786489279e+02","2.3889248284569039e-12","4.6327386371558532e-11","","9.1028059025272649e-09","9.1028059025272649e-09","","143","41","","logs_madnlp_simples_2/chakra_jump_madnlp_2.log"
"jump_2/chance_jump.jl","chance_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","29.89437815083831","9.23629903793335","15.978389024734497","5","4","8","6","2.9894378150838310e+01","8.7605024307347841e-12","9.0721597858635741e-12","","9.1484216834472282e-09","9.1484216834472282e-09","","17","10","","logs_madnlp_simples_2/chance_jump_madnlp_2.log"
"jump_2/chem_jump.jl","chem_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-47.70651482545998","9.2185640335083","15.819450855255127","12","5","16","18","-4.7706514825459983e+01","2.0299597335645021e-09","4.7535309022350702e-12","","9.0974776772740601e-09","9.0974776772740601e-09","","37","21","","logs_madnlp_simples_2/chem_jump_madnlp_2.log"
"jump_2/chenery_jump.jl","chenery_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-1058.919855918274","9.245409965515137","16.38310718536377","45","39","120","17","-1.0589198559182739e+03","1.1130437717332686e-11","1.4068240288527785e-10","","9.2247822183502590e-09","9.2247822183502590e-09","","133","42","","logs_madnlp_simples_2/chenery_jump_madnlp_2.log"
"jump_2/demo7_jump.jl","demo7_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-1.5890423907011398e6","4.471658945083618","9.19454312324524","72","58","124","84","-1.5890423907011398e+06","1.3686374689618532e-13","2.3283064365386963e-10","","9.0913090389228044e-09","9.0913090389228044e-09","","307","12","","logs_madnlp_simples_2/demo7_jump_madnlp_2.log"
"jump_2/dispatch_jump.jl","dispatch_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","3155.2878994365037","4.521553039550781","9.300472021102905","5","3","9","10","3.1552878994365037e+03","1.1379786002407855e-14","5.0022208597511053e-12","","9.1158535592896841e-09","9.1158535592896841e-09","","24","9","","logs_madnlp_simples_2/dispatch_jump_madnlp_2.log"
"jump_2/elec25_jump.jl","elec25_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","243.81276029876577","9.730459928512573","16.524261951446533","76","26","26","272","2.4381276029876577e+02","5.1722781613250390e-08","7.0855321609997191e-11","","0.0000000000000000e+00","5.1722781613250390e-08","","151","2925","","logs_madnlp_simples_2/elec25_jump_madnlp_2.log"
"jump_2/elec50_jump.jl","elec50_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","1055.1823147260404","11.87376594543457","18.6628098487854","151","51","51","188","1.0551823147260404e+03","7.3571815306650024e-10","2.5589987314195571e-10","","0.0000000000000000e+00","7.3571815306650024e-10","","301","11475","","logs_madnlp_simples_2/elec50_jump_madnlp_2.log"
"jump_2/etamac_jump.jl","etamac_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-15.29467570582149","9.690430164337158","16.418437004089355","98","71","159","16","-1.5294675705821490e+01","1.6587282804946956e-08","8.7188599451337723e-08","","9.7623332726154305e-08","9.7623332726154305e-08","","226","60","","logs_madnlp_simples_2/etamac_jump_madnlp_2.log"
"jump_2/ex14_1_2_jump.jl","ex14_1_2_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","6.269855688830262e-8","9.247478008270264","16.084378957748413","7","10","20","21","6.2698556888302618e-08","8.4689236660326273e-09","2.3895030892610804e-10","","1.0231882614459565e-08","1.0231882614459565e-08","","46","39","","logs_madnlp_simples_2/ex14_1_2_jump_madnlp_2.log"
