"arquivo","modelo","solver","preset","status_execucao","status","status_primal","status_dual","raw_status","objetivo","tempo_jump_s","variaveis","restricoes_sem_bounds","restricoes_com_bounds","max_iter","tol","erro_include","erro_solver","log"
"jump_2/Ints50_jump.jl","Ints50_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.554668763447192","2.233144","257","201","311","3000","1.0e-7","","","logs_uno_simples_2/Ints50_jump_uno_2.log"
"jump_2/Ints100_jump.jl","Ints100_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.5545954011668994","3.402601","507","401","611","3000","1.0e-7","","","logs_uno_simples_2/Ints100_jump_uno_2.log"
"jump_2/launch_jump.jl","launch_jump","UnoSolver","filtersqp","OK","OTHER_ERROR","FEASIBLE_POINT","UNKNOWN_RESULT_STATUS","4","2333.9781103042365","2.182913","39","29","78","3000","1.0e-7","","","logs_uno_simples_2/launch_jump_uno_2.log"
"jump_2/least_jump.jl","least_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","14085.139848919222","1.985346","4","1","3","3000","1.0e-7","","","logs_uno_simples_2/least_jump_uno_2.log"
"jump_2/linear_jump.jl","linear_jump","UnoSolver","filtersqp","OK","ITERATION_LIMIT","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","1","-257.1875381929611","2.159845","25","21","61","3000","1.0e-7","","","logs_uno_simples_2/linear_jump_uno_2.log"
"jump_2/meanvar_jump.jl","meanvar_jump","UnoSolver","filtersqp","OK","ITERATION_LIMIT","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","1","4.786384294089698","0.41728","9","3","18","3000","1.0e-7","","","logs_uno_simples_2/meanvar_jump_uno_2.log"
"jump_2/mhw4d_jump.jl","mhw4d_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.029310829790840178","1.98405","6","4","4","3000","1.0e-7","","","logs_uno_simples_2/mhw4d_jump_uno_2.log"
"jump_2/minlphi_jump.jl","minlphi_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","582.2361420430404","2.14384","65","80","150","3000","1.0e-7","","","logs_uno_simples_2/minlphi_jump_uno_2.log"
"jump_2/nemhaus_jump.jl","nemhaus_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","31.0","0.278822","6","6","11","3000","1.0e-7","","","logs_uno_simples_2/nemhaus_jump_uno_2.log"
"jump_2/otpop_jump.jl","otpop_jump","UnoSolver","filtersqp","OK","OTHER_ERROR","FEASIBLE_POINT","UNKNOWN_RESULT_STATUS","4","8.012034248694997","2.253541","104","77","136","3000","1.0e-7","","","logs_uno_simples_2/otpop_jump_uno_2.log"
"jump_2/pindyck_jump.jl","pindyck_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-1170.4862854369264","2.01667","117","97","197","3000","1.0e-7","","","logs_uno_simples_2/pindyck_jump_uno_2.log"
"jump_2/pollut_jump.jl","pollut_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-5.353268628747411e6","1.974335","43","9","89","3000","1.0e-7","","","logs_uno_simples_2/pollut_jump_uno_2.log"
"jump_2/polygon25_jump.jl","polygon25_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-0.7197409726931957","2.09694","51","325","423","3000","1.0e-7","","","logs_uno_simples_2/polygon25_jump_uno_2.log"
"jump_2/polygon50_jump.jl","polygon50_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-0.7793971875022679","4.138518","101","1275","1473","3000","1.0e-7","","","logs_uno_simples_2/polygon50_jump_uno_2.log"
"jump_2/prolog_jump.jl","prolog_jump","UnoSolver","filtersqp","ERRO_INCLUDE","","","","","NaN","NaN","","","","3000","1.0e-7","SystemError: opening file ""/home/rezendegdm/Documentos/otmization/jump_2/prolog_jump.jl"": Arquivo ou diretório inexistente | Stacktrace: |  [1] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [2] top-level scope |    @ ~/Documentos/otmization/rodar_um_uno_2.jl:79 |  [3] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [4] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [5] _start() |    @ Base ./client.jl:550","","logs_uno_simples_2/prolog_jump_uno_2.log"
"jump_2/qp3_jump.jl","qp3_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.0008093150503719268","2.03547","101","53","103","3000","1.0e-7","","","logs_uno_simples_2/qp3_jump_uno_2.log"
"jump_2/qp4_jump.jl","qp4_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.0008093150503719251","2.017919","80","32","82","3000","1.0e-7","","","logs_uno_simples_2/qp4_jump_uno_2.log"
"jump_2/qp5_jump.jl","qp5_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","0.4314558966206043","1.206253","109","32","140","3000","1.0e-7","","","logs_uno_simples_2/qp5_jump_uno_2.log"
"jump_2/ramsey_jump.jl","ramsey_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-2.487468638966602","2.036402","34","23","66","3000","1.0e-7","","","logs_uno_simples_2/ramsey_jump_uno_2.log"
"jump_2/rbrock_jump.jl","rbrock_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-2.2413235129261287e-10","1.997287","3","1","5","3000","1.0e-7","","","logs_uno_simples_2/rbrock_jump_uno_2.log"
"jump_2/ship_jump.jl","ship_jump","UnoSolver","filtersqp","ERRO_INCLUDE","","","","","NaN","NaN","","","","3000","1.0e-7","LoadError: UndefVarError: `x` not defined in `Main` | Suggestion: check for spelling errors or missing imports. | Stacktrace: |  [1] top-level scope |    @ ~/Documentos/otmization/jump_2/ship_jump.jl:64 |  [2] include(mapexpr::Function, mod::Module, _path::String) |    @ Base ./Base.jl:307 |  [3] top-level scope |    @ ~/Documentos/otmization/rodar_um_uno_2.jl:79 |  [4] include(mod::Module, _path::String) |    @ Base ./Base.jl:306 |  [5] exec_options(opts::Base.JLOptions) |    @ Base ./client.jl:317 |  [6] _start() |    @ Base ./client.jl:550 | in expression starting at /home/rezendegdm/Documentos/otmization/jump_2/ship_jump.jl:63","","logs_uno_simples_2/ship_jump_uno_2.log"
"jump_2/wall_jump.jl","wall_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","1.0000046575934247","0.66777","6","6","6","3000","1.0e-7","","","logs_uno_simples_2/wall_jump_uno_2.log"
"jump_2/water_jump.jl","water_jump","UnoSolver","filtersqp","OK","ITERATION_LIMIT","INFEASIBLE_POINT","UNKNOWN_RESULT_STATUS","1","137.87652869873537","1.563474","42","26","66","3000","1.0e-7","","","logs_uno_simples_2/water_jump_uno_2.log"
"jump_2/turkey_jump.jl","turkey_jump","UnoSolver","filtersqp","OK","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","0","-29330.158040029142","1.817294","519","288","763","3000","1.0e-7","","","logs_uno_simples_2/turkey_jump_uno_2.log"
